[INFO] 15:39:55:629 filesystem/(3793:3793): Soy el modulo filesystem! guarde el logger en la siguiente ruta:./cfg/filesystem.log. Hice uso de la shared!
[INFO] 15:40:23:721 filesystem/(3940:3940): Soy el modulo filesystem! guarde el logger en la siguiente ruta:./cfg/filesystem.log. Hice uso de la shared!
[INFO] 15:41:24:917 filesystem/(4024:4024): Soy el modulo filesystem! guarde el logger en la siguiente ruta:./cfg/filesystem.log. Hice uso de la shared!
[INFO] 02:16:41:125 filesystem/(9015:9015): Soy el modulo filesystem! guarde el logger en la siguiente ruta:./cfg/filesystem.log. Hice uso de la shared!
[INFO] 17:12:11:729 Filesystem/(18622:18622): Filesystem listo para recibir a Kernel
[INFO] 17:12:49:976 Filesystem/(18820:18820): Filesystem listo para recibir a Kernel
[INFO] 17:13:08:655 Filesystem/(18905:18905): Filesystem listo para recibir a Kernel
[ERROR] 17:15:00:029 Filesystem/(19174:19174): Error al conectarse a KERNEL :(
[INFO] 17:15:00:030 Filesystem/(19174:19174): Filesystem listo para recibir a Kernel
[ERROR] 17:15:21:878 Filesystem/(19245:19245): Error al conectarse!
[INFO] 17:15:21:878 Filesystem/(19245:19245): Filesystem listo para recibir a Kernel
[INFO] 17:18:01:537 Filesystem/(19949:19949): Filesystem listo para recibir a Kernel
[INFO] 17:18:18:818 Filesystem/(20137:20137): Filesystem listo para recibir a Kernel
[INFO] 17:20:53:602 Filesystem/(20510:20510): Filesystem listo para recibir a Kernel
[INFO] 17:21:01:793 Filesystem/(20579:20579): Filesystem listo para recibir a Kernel
[INFO] 17:21:56:615 Filesystem/(20773:20773): Filesystem listo para recibir a Kernel
[INFO] 17:23:12:253 Filesystem/(21011:21011): Filesystem listo para recibir a Kernel
[INFO] 17:23:14:859 Filesystem/(21011:21011): Se conecto un cliente!
[ERROR] 17:23:40:133 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:134 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:134 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:134 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:134 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:134 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:134 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:134 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:134 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:134 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:134 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:134 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:134 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:134 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:134 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:134 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:134 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:134 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:134 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:134 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:134 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:136 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:136 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:136 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:136 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:136 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:136 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:136 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:136 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:136 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:136 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:136 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:136 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:136 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:136 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:136 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:137 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:137 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:137 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:137 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:137 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:137 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:137 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:137 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:137 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:137 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:137 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:137 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:137 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:137 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:137 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:137 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:137 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:137 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:137 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:137 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:137 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:137 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:137 Filesystem/(21011:21011): Kernel se desconecto.
[ERROR] 17:23:40:137 Filesystem/(21011:21011): Kernel se desconecto.
